Fiscal Year,Social Group,Region,Gender,LFPR (%)
2023-24,ST,rural,male,60
2023-24,SC,rural,male,57.1
2023-24,OBC,rural,male,57.1
2023-24,others,rural,male,59.5
2023-24,all,rural,male,57.9
2023-24,ST,rural,female,48.5
2023-24,SC,rural,female,34.4
2023-24,OBC,rural,female,35
2023-24,others,rural,female,29.8
2023-24,all,rural,female,35.5
2023-24,ST,rural,person,54.1
2023-24,SC,rural,person,45.9
2023-24,OBC,rural,person,46.1
2023-24,others,rural,person,44.7
2023-24,all,rural,person,46.8
2023-24,ST,urban,male,55.2
2023-24,SC,urban,male,59.6
2023-24,OBC,urban,male,58.4
2023-24,others,urban,male,59.8
2023-24,all,urban,male,59
2023-24,ST,urban,female,30.7
2023-24,SC,urban,female,25
2023-24,OBC,urban,female,21.5
2023-24,others,urban,female,21.2
2023-24,all,urban,female,22.3
2023-24,ST,urban,person,43.4
2023-24,SC,urban,person,42.6
2023-24,OBC,urban,person,40.1
2023-24,others,urban,person,41.1
2023-24,all,urban,person,41
2023-24,ST,rural+urban,male,59.5
2023-24,SC,rural+urban,male,57.7
2023-24,OBC,rural+urban,male,57.5
2023-24,others,rural+urban,male,59.6
2023-24,all,rural+urban,male,58.2
2023-24,ST,rural+urban,female,46.7
2023-24,SC,rural+urban,female,32.2
2023-24,OBC,rural+urban,female,31.2
2023-24,others,rural+urban,female,26.2
2023-24,all,rural+urban,female,41.7
2023-24,ST,rural+urban,person,53
2023-24,SC,rural+urban,person,45.1
2023-24,OBC,rural+urban,person,44.4
2023-24,others,rural+urban,person,43.2
2023-24,all,rural+urban,person,45.1
2022-23,ST,rural,male,60
2022-23,SC,rural,male,56.5
2022-23,OBC,rural,male,56.5
2022-23,others,rural,male,51.4
2022-23,all,rural,male,55.5
2022-23,ST,rural,female,45.2
2022-23,SC,rural,female,30.6
2022-23,OBC,rural,female,31.7
2022-23,others,rural,female,21.5
2022-23,all,rural,female,30.5
2022-23,ST,rural,person,52.6
2022-23,SC,rural,person,43.6
2022-23,OBC,rural,person,44.2
2022-23,others,rural,person,37.8
2022-23,all,rural,person,43.4
2022-23,ST,urban,male,56.4
2022-23,SC,urban,male,59.9
2022-23,OBC,urban,male,57.5
2022-23,others,urban,male,58.7
2022-23,all,urban,male,58.3
2022-23,ST,urban,female,28.2
2022-23,SC,urban,female,22.7
2022-23,OBC,urban,female,19.7
2022-23,others,urban,female,19
2022-23,all,urban,female,20.2
2022-23,ST,urban,person,42.5
2022-23,SC,urban,person,41.8
2022-23,OBC,urban,person,39.2
2022-23,others,urban,person,39.4
2022-23,all,urban,person,39.8
2022-23,ST,rural+urban,male,59.6
2022-23,SC,rural+urban,male,57.3
2022-23,OBC,rural+urban,male,56.8
2022-23,others,rural+urban,male,53.8
2022-23,all,rural+urban,male,56.2
2022-23,ST,rural+urban,female,43.5
2022-23,SC,rural+urban,female,28.9
2022-23,OBC,rural+urban,female,28.5
2022-23,others,rural+urban,female,20.6
2022-23,all,rural+urban,female,27.8
2022-23,ST,rural+urban,person,51.6
2022-23,SC,rural+urban,person,43.2
2022-23,OBC,rural+urban,person,42.9
2022-23,others,rural+urban,person,38.4
2022-23,all,rural+urban,person,42.4
2021-22,ST,rural,male,59.1
2021-22,SC,rural,male,56.3
2021-22,OBC,rural,male,56.1
2021-22,others,rural,male,57.8
2021-22,all,rural,male,56.9
2021-22,ST,rural,female,40.6
2021-22,SC,rural,female,26.3
2021-22,OBC,rural,female,26.4
2021-22,others,rural,female,21.5
2021-22,all,rural,female,27.2
2021-22,ST,rural,person,49.9
2021-22,SC,rural,person,41.5
2021-22,OBC,rural,person,41.5
2021-22,others,rural,person,40.1
2021-22,all,rural,person,42.2
2021-22,ST,urban,male,58.1
2021-22,SC,urban,male,59.1
2021-22,OBC,urban,male,57.9
2021-22,others,urban,male,58.6
2021-22,all,urban,male,58.3
2021-22,ST,urban,female,28.5
2021-22,SC,urban,female,20.2
2021-22,OBC,urban,female,18.6
2021-22,others,urban,female,17.3
2021-22,all,urban,female,18.8
2021-22,ST,urban,person,43.4
2021-22,SC,urban,person,40.2
2021-22,OBC,urban,person,38.6
2021-22,others,urban,person,38.5
2021-22,all,urban,person,39
2021-22,ST,rural+urban,male,59
2021-22,SC,rural+urban,male,56.9
2021-22,OBC,rural+urban,male,56.6
2021-22,others,rural+urban,male,58.1
2021-22,all,rural+urban,male,57.3
2021-22,ST,rural+urban,female,39.3
2021-22,SC,rural+urban,female,25
2021-22,OBC,rural+urban,female,24.3
2021-22,others,rural+urban,female,19.8
2021-22,all,rural+urban,female,24.8
2021-22,ST,rural+urban,person,49.2
2021-22,SC,rural+urban,person,41.2
2021-22,OBC,rural+urban,person,40.7
2021-22,others,rural+urban,person,39.4
2021-22,all,rural+urban,person,41.3
2020-21,ST,rural,male,58.6
2020-21,SC,rural,male,56.7
2020-21,OBC,rural,male,55.7
2020-21,others,rural,male,59.4
2020-21,all,rural,male,57.1
2020-21,ST,rural,female,41.6
2020-21,SC,rural,female,27.2
2020-21,OBC,rural,female,27.1
2020-21,others,rural,female,21.6
2020-21,all,rural,female,27.7
2020-21,ST,rural,person,50.3
2020-21,SC,rural,person,42.4
2020-21,OBC,rural,person,41.7
2020-21,others,rural,person,40.8
2020-21,all,rural,person,42.7
2020-21,ST,urban,male,58.5
2020-21,SC,urban,male,59.3
2020-21,OBC,urban,male,58.2
2020-21,others,urban,male,58.3
2020-21,all,urban,male,58.4
2020-21,ST,urban,female,23.5
2020-21,SC,urban,female,21.6
2020-21,OBC,urban,female,18.5
2020-21,others,urban,female,16.8
2020-21,all,urban,female,18.6
2020-21,ST,urban,person,41.3
2020-21,SC,urban,person,40.6
2020-21,OBC,urban,person,38.8
2020-21,others,urban,person,38
2020-21,all,urban,person,38.9
2020-21,ST,rural+urban,male,58.6
2020-21,SC,rural+urban,male,57.3
2020-21,OBC,rural+urban,male,56.4
2020-21,others,rural+urban,male,58.9
2020-21,all,rural+urban,male,57.5
2020-21,ST,rural+urban,female,39.6
2020-21,SC,rural+urban,female,26
2020-21,OBC,rural+urban,female,24.6
2020-21,others,rural+urban,female,19.6
2020-21,all,rural+urban,female,25.1
2020-21,ST,rural+urban,person,49.3
2020-21,SC,rural+urban,person,42
2020-21,OBC,rural+urban,person,40.9
2020-21,others,rural+urban,person,39.6
2020-21,all,rural+urban,person,41.6
2019-20,ST,rural,male,57.4
2019-20,SC,rural,male,55.9
2019-20,OBC,rural,male,55.7
2019-20,others,rural,male,57.6
2019-20,all,rural,male,56.3
2019-20,ST,rural,female,38
2019-20,SC,rural,female,24.3
2019-20,OBC,rural,female,24.1
2019-20,others,rural,female,19.3
2019-20,all,rural,female,24.7
2019-20,ST,rural,person,47.9
2019-20,SC,rural,person,40.4
2019-20,OBC,rural,person,40.1
2019-20,others,rural,person,38.8
2019-20,all,rural,person,40.8
2019-20,ST,urban,male,56.3
2019-20,SC,urban,male,58.5
2019-20,OBC,urban,male,57.5
2019-20,others,urban,male,58.1
2019-20,all,urban,male,57.8
2019-20,ST,urban,female,25.6
2019-20,SC,urban,female,20.7
2019-20,OBC,urban,female,18.4
2019-20,others,urban,female,17.1
2019-20,all,urban,female,18.5
2019-20,ST,urban,person,41.3
2019-20,SC,urban,person,39.8
2019-20,OBC,urban,person,38.4
2019-20,others,urban,person,38.1
2019-20,all,urban,person,38.6
2019-20,ST,rural+urban,male,57.2
2019-20,SC,rural+urban,male,56.4
2019-20,OBC,rural+urban,male,56.2
2019-20,others,rural+urban,male,57.8
2019-20,all,rural+urban,male,56.8
2019-20,ST,rural+urban,female,36.5
2019-20,SC,rural+urban,female,23.5
2019-20,OBC,rural+urban,female,22.4
2019-20,others,rural+urban,female,18.3
2019-20,all,rural+urban,female,22.8
2019-20,ST,rural+urban,person,47.1
2019-20,SC,rural+urban,person,40.3
2019-20,OBC,rural+urban,person,39.6
2019-20,others,rural+urban,person,38.5
2019-20,all,rural+urban,person,40.1
2018-19,ST,rural,male,57.3
2018-19,SC,rural,male,55.1
2018-19,OBC,rural,male,54.1
2018-19,others,rural,male,56.1
2018-19,all,rural,male,55.1
2018-19,ST,rural,female,28.7
2018-19,SC,rural,female,19.5
2018-19,OBC,rural,female,19.6
2018-19,others,rural,female,15.1
2018-19,all,rural,female,19.7
2018-19,ST,rural,person,43.3
2018-19,SC,rural,person,37.7
2018-19,OBC,rural,person,37.1
2018-19,others,rural,person,36.1
2018-19,all,rural,person,37.7
2018-19,ST,urban,male,54.3
2018-19,SC,urban,male,57.2
2018-19,OBC,urban,male,56.4
2018-19,others,urban,male,57
2018-19,all,urban,male,56.7
2018-19,ST,urban,female,18.4
2018-19,SC,urban,female,18.4
2018-19,OBC,urban,female,16.6
2018-19,others,urban,female,14.5
2018-19,all,urban,female,16.1
2018-19,ST,urban,person,36.5
2018-19,SC,urban,person,38.4
2018-19,OBC,urban,person,36.9
2018-19,others,urban,person,36.5
2018-19,all,urban,person,36.9
2018-19,ST,rural+urban,male,57
